disease,symptoms,description,precautions,severity,nlp_examples,symptom_count
cystitis,back pain|blood in urine|frequent urination|involuntary urination|lower abdominal pain|painful urination|pelvic pain|retention of urine|sharp abdominal pain|side pain|suprapubic pain|symptoms of bladder,"Medical condition characterized by: back pain, blood in urine, frequent urination, involuntary urination, lower abdominal pain...",Consult a healthcare professional,moderate,,12
vulvodynia,back pain|burning abdominal pain|cramps and spasms|lower abdominal pain|nausea|pain during pregnancy|painful urination|pelvic pain|sharp abdominal pain|side pain|vaginal discharge|vaginal pain,"Medical condition characterized by: back pain, burning abdominal pain, cramps and spasms, lower abdominal pain, nausea...",Consult a healthcare professional,moderate,,12
nose disorder,coryza|cough|ear pain|facial pain|fever|headache|nasal congestion|nosebleed|painful sinuses|sinus congestion|sore throat,"Medical condition characterized by: coryza, cough, ear pain, facial pain, fever...",Consult a healthcare professional,moderate,,11
complex regional pain syndrome,abnormal involuntary movements|ache all over|arm pain|back pain|foot or toe pain|hand or finger pain|leg pain|loss of sensation|low back pain|neck pain|paresthesia|problems with movement,"Medical condition characterized by: abnormal involuntary movements, ache all over, arm pain, back pain, foot or toe pain...",Consult a healthcare professional,moderate,,12
spondylosis,ache all over|arm pain|back pain|hip pain|knee pain|leg pain|loss of sensation|low back pain|lower body pain|neck pain|paresthesia|shoulder pain,"Medical condition characterized by: ache all over, arm pain, back pain, hip pain, knee pain...",Consult a healthcare professional,moderate,,12
hypoglycemia,abnormal involuntary movements|decreased appetite|depressive or psychotic symptoms|dizziness|fainting|feeling ill|nausea|problems with movement|seizures|sleepiness|sweating,"Medical condition characterized by: abnormal involuntary movements, decreased appetite, depressive or psychotic symptoms, dizziness, fainting...",lie down on side|check in pulse|drink sugary drinks|consult doctor,moderate,,11
conjunctivitis due to allergy,allergic reaction|cough|diminished vision|eye burns or stings|eye redness|itchiness of eye|lacrimation|nasal congestion|pain in eye|sneezing|swollen eye|symptoms of eye,"Medical condition characterized by: allergic reaction, cough, diminished vision, eye burns or stings, eye redness...",Consult a healthcare professional,moderate,,12
vaginal cyst,blood clots during menstrual periods|cramps and spasms|heavy menstrual flow|intermenstrual bleeding|lower abdominal pain|pain during pregnancy|pelvic pain|problems during pregnancy|sharp abdominal pain|spotting or bleeding during pregnancy|vaginal discharge|vaginal pain,"Medical condition characterized by: blood clots during menstrual periods, cramps and spasms, heavy menstrual flow, intermenstrual bleeding, lower abdominal pain...",Consult a healthcare professional,moderate,,12
esophagitis,burning abdominal pain|chest tightness|cough|difficulty in swallowing|heartburn|nausea|sharp abdominal pain|sharp chest pain|sore throat|upper abdominal pain|vomiting,"Medical condition characterized by: burning abdominal pain, chest tightness, cough, difficulty in swallowing, heartburn...",Consult a healthcare professional,moderate,,11
peripheral nerve disorder,abnormal involuntary movements|arm pain|arm weakness|back pain|disturbance of memory|dizziness|foot or toe pain|leg pain|leg weakness|loss of sensation|paresthesia|problems with movement,"Medical condition characterized by: abnormal involuntary movements, arm pain, arm weakness, back pain, disturbance of memory...",Consult a healthcare professional,moderate,,12
gastrointestinal hemorrhage,blood in stool|changes in stool appearance|diarrhea|dizziness|fainting|melena|nausea|rectal bleeding|sharp abdominal pain|vomiting|vomiting blood,"Medical condition characterized by: blood in stool, changes in stool appearance, diarrhea, dizziness, fainting...",Consult a healthcare professional,moderate,,11
diverticulitis,blood in stool|burning abdominal pain|chills|constipation|diarrhea|fever|lower abdominal pain|nausea|sharp abdominal pain|side pain|upper abdominal pain|vomiting,"Medical condition characterized by: blood in stool, burning abdominal pain, chills, constipation, diarrhea...",Consult a healthcare professional,moderate,,12
acute bronchitis,congestion in chest|coryza|cough|coughing up sputum|fever|headache|nasal congestion|sharp chest pain|sore throat|wheezing,"Medical condition characterized by: congestion in chest, coryza, cough, coughing up sputum, fever...",Consult a healthcare professional,moderate,,10
infectious gastroenteritis,blood in stool|burning abdominal pain|chills|decreased appetite|diarrhea|fever|fluid retention|flulike syndrome|headache|nausea|sharp abdominal pain|vomiting,"Medical condition characterized by: blood in stool, burning abdominal pain, chills, decreased appetite, diarrhea...",Consult a healthcare professional,moderate,,12
pneumonia,chills|coryza|cough|fever|nasal congestion|sharp chest pain|sore throat|vomiting|wheezing,"Medical condition characterized by: chills, coryza, cough, fever, nasal congestion...",consult doctor|medication|rest|follow up,urgent,ive been feeling really cold and tired lately and ive been coughing a lot with chest pain my heart is beating really fast too and when i cough the phlegm is kind of a rusty color|ive been coughing a lot recently with chest pain and feeling incredibly chilly and exhausted additionally my heart is thumping rapidly and the phlegm i cough up has a reddish hue|ive been feeling really drained and cold and i cant stop coughing it hurts in my chest when i do and my heart feels like its racing the mucus im coughing up is a gross brownish color,9
fungal infection of the hair,abnormal appearing skin|acne or pimples|irregular appearing scalp|itching of skin|itchy scalp|pelvic pain|skin dryness peeling scaliness or roughness|skin growth|skin irritation|skin swelling,"Medical condition characterized by: abnormal appearing skin, acne or pimples, irregular appearing scalp, itching of skin, itchy scalp...",Consult a healthcare professional,moderate,,10
sprain or strain,ankle pain|arm pain|back pain|foot or toe pain|hand or finger pain|headache|knee pain|leg pain|low back pain|neck pain|shoulder pain|wrist pain,"Medical condition characterized by: ankle pain, arm pain, back pain, foot or toe pain, hand or finger pain...",Consult a healthcare professional,moderate,,12
spontaneous abortion,blood clots during menstrual periods|burning abdominal pain|cramps and spasms|heavy menstrual flow|intermenstrual bleeding|lower abdominal pain|pain during pregnancy|pelvic pain|problems during pregnancy|sharp abdominal pain|spotting or bleeding during pregnancy|uterine contractions,"Medical condition characterized by: blood clots during menstrual periods, burning abdominal pain, cramps and spasms, heavy menstrual flow, intermenstrual bleeding...",Consult a healthcare professional,moderate,,12
gout,ankle pain|ankle swelling|foot or toe pain|foot or toe swelling|hand or finger pain|hand or finger swelling|joint pain|knee pain|knee swelling|leg swelling|wrist pain|wrist swelling,"Medical condition characterized by: ankle pain, ankle swelling, foot or toe pain, foot or toe swelling, hand or finger pain...",Consult a healthcare professional,moderate,,12
marijuana abuse,abusing alcohol|anxiety and nervousness|delusions or hallucinations|depression|depressive or psychotic symptoms|difficulty speaking|drug abuse|excessive anger|fears and phobias|hostile behavior|low selfesteem|temper problems,"Medical condition characterized by: abusing alcohol, anxiety and nervousness, delusions or hallucinations, depression, depressive or psychotic symptoms...",Consult a healthcare professional,moderate,,12
arthritis of the hip,ache all over|back pain|groin pain|hip pain|hip stiffness or tightness|joint pain|knee pain|leg pain|low back pain|lower body pain|pelvic pain|problems with movement,"Medical condition characterized by: ache all over, back pain, groin pain, hip pain, hip stiffness or tightness...",Consult a healthcare professional,moderate,,12
strep throat,ache all over|chills|cough|decreased appetite|difficulty in swallowing|ear pain|fever|headache|nasal congestion|sore throat|vomiting,"Medical condition characterized by: ache all over, chills, cough, decreased appetite, difficulty in swallowing...",Consult a healthcare professional,moderate,,11
injury to the arm,arm pain|arm stiffness or tightness|arm swelling|bones are painful|elbow pain|elbow swelling|hand or finger pain|hand or finger swelling|joint pain|loss of sensation|wrist pain|wrist swelling,"Medical condition characterized by: arm pain, arm stiffness or tightness, arm swelling, bones are painful, elbow pain...",Consult a healthcare professional,moderate,,12
liver disease,blood in stool|diarrhea|heartburn|jaundice|nausea|peripheral edema|sharp abdominal pain|side pain|unusual color or odor to urine|upper abdominal pain,"Medical condition characterized by: blood in stool, diarrhea, heartburn, jaundice, nausea...",Consult a healthcare professional,moderate,,10
bursitis,arm pain|arm stiffness or tightness|arm swelling|elbow pain|elbow swelling|hip pain|knee pain|knee swelling|leg pain|leg swelling|shoulder pain|shoulder stiffness or tightness,"Medical condition characterized by: arm pain, arm stiffness or tightness, arm swelling, elbow pain, elbow swelling...",Consult a healthcare professional,moderate,,12
acute pancreatitis,abusing alcohol|back pain|burning abdominal pain|diarrhea|hemoptysis|lower body pain|nausea|sharp abdominal pain|sharp chest pain|side pain|upper abdominal pain|vomiting,"Medical condition characterized by: abusing alcohol, back pain, burning abdominal pain, diarrhea, hemoptysis...",Consult a healthcare professional,moderate,,12
spinal stenosis,arm pain|back pain|headache|hip pain|leg pain|loss of sensation|low back pain|lower body pain|neck pain|paresthesia|problems with movement|shoulder pain,"Medical condition characterized by: arm pain, back pain, headache, hip pain, leg pain...",Consult a healthcare professional,moderate,,12
eczema,abnormal appearing skin|acne or pimples|allergic reaction|cough|irregular appearing scalp|itching of skin|skin dryness peeling scaliness or roughness|skin irritation|skin swelling|warts,"Medical condition characterized by: abnormal appearing skin, acne or pimples, allergic reaction, cough, irregular appearing scalp...",Consult a healthcare professional,moderate,,10
injury to the leg,ankle pain|ankle swelling|foot or toe pain|foot or toe swelling|infant feeding problem|irregular appearing nails|knee pain|knee stiffness or tightness|knee swelling|leg pain|leg swelling|problems with movement,"Medical condition characterized by: ankle pain, ankle swelling, foot or toe pain, foot or toe swelling, infant feeding problem...",Consult a healthcare professional,moderate,,12
noninfectious gastroenteritis,blood in stool|burning abdominal pain|chills|decreased appetite|diarrhea|fever|fluid retention|headache|nausea|rectal bleeding|sharp abdominal pain|vomiting,"Medical condition characterized by: blood in stool, burning abdominal pain, chills, decreased appetite, diarrhea...",Consult a healthcare professional,moderate,,12
benign prostatic hyperplasia bph,blood in urine|excessive urination at night|frequent urination|hesitancy|impotence|involuntary urination|low urine output|pain in testicles|retention of urine|swelling of scrotum|symptoms of bladder|symptoms of prostate,"Medical condition characterized by: blood in urine, excessive urination at night, frequent urination, hesitancy, impotence...",Consult a healthcare professional,moderate,,12
acute bronchiolitis,coryza|cough|decreased appetite|fever|hurts to breath|irritable infant|nasal congestion|pulling at ears|vomiting|wheezing,"Medical condition characterized by: coryza, cough, decreased appetite, fever, hurts to breath...",Consult a healthcare professional,moderate,,10
cholecystitis,back pain|burning abdominal pain|lower body pain|nausea|regurgitation1|sharp abdominal pain|sharp chest pain|side pain|stomach bloating|symptoms of the kidneys|upper abdominal pain|vomiting,"Medical condition characterized by: back pain, burning abdominal pain, lower body pain, nausea, regurgitation1...",Consult a healthcare professional,moderate,,12
anxiety,abnormal involuntary movements|anxiety and nervousness|depression|depressive or psychotic symptoms|fears and phobias|headache|increased heart rate|insomnia|irregular heartbeat|palpitations|sharp chest pain,"Medical condition characterized by: abnormal involuntary movements, anxiety and nervousness, depression, depressive or psychotic symptoms, fears and phobias...",Consult a healthcare professional,moderate,,11
obstructive sleep apnea osa,abnormal breathing sounds|abnormal involuntary movements|apnea|difficulty in swallowing|insomnia|mouth dryness|sleepiness|sweating|weight gain,"Medical condition characterized by: abnormal breathing sounds, abnormal involuntary movements, apnea, difficulty in swallowing, insomnia...",Consult a healthcare professional,moderate,,9
concussion,back pain|difficulty speaking|disturbance of memory|dizziness|double vision|facial pain|headache|nausea|neck pain|rib pain|sleepiness|vomiting,"Medical condition characterized by: back pain, difficulty speaking, disturbance of memory, dizziness, double vision...",Consult a healthcare professional,moderate,,12
dental caries,ear pain|facial pain|gum pain|jaw swelling|mouth pain|neck swelling|pain in gums|peripheral edema|restlessness|skin irritation|skin swelling|toothache,"Medical condition characterized by: ear pain, facial pain, gum pain, jaw swelling, mouth pain...",Consult a healthcare professional,moderate,,12
pyogenic skin infection,abnormal appearing skin|foot or toe pain|foot or toe swelling|hand or finger pain|hand or finger swelling|leg pain|leg swelling|peripheral edema|skin swelling,"Medical condition characterized by: abnormal appearing skin, foot or toe pain, foot or toe swelling, hand or finger pain, hand or finger swelling...",Consult a healthcare professional,moderate,,9
stye,abnormal appearing skin|eye burns or stings|eye redness|eyelid lesion or rash|eyelid swelling|itchiness of eye|mass on eyelid|pain in eye|skin swelling|swollen eye|symptoms of eye,"Medical condition characterized by: abnormal appearing skin, eye burns or stings, eye redness, eyelid lesion or rash, eyelid swelling...",Consult a healthcare professional,moderate,,11
idiopathic excessive menstruation,blood clots during menstrual periods|cramps and spasms|frequent menstruation|heavy menstrual flow|intermenstrual bleeding|involuntary urination|long menstrual periods|painful menstruation|sharp abdominal pain|unpredictable menstruation|vaginal discharge,"Medical condition characterized by: blood clots during menstrual periods, cramps and spasms, frequent menstruation, heavy menstrual flow, intermenstrual bleeding...",Consult a healthcare professional,moderate,,11
depression,abusing alcohol|anxiety and nervousness|delusions or hallucinations|depression|depressive or psychotic symptoms|disturbance of memory|drug abuse|excessive anger|hostile behavior|insomnia|temper problems,"Medical condition characterized by: abusing alcohol, anxiety and nervousness, delusions or hallucinations, depression, depressive or psychotic symptoms...",Consult a healthcare professional,moderate,,11
acute sinusitis,coryza|cough|coughing up sputum|ear pain|facial pain|fever|frontal headache|nasal congestion|painful sinuses|sinus congestion|sore throat,"Medical condition characterized by: coryza, cough, coughing up sputum, ear pain, facial pain...",Consult a healthcare professional,moderate,,11
herniated disk,arm pain|arm weakness|back pain|hip pain|leg pain|leg weakness|loss of sensation|low back pain|neck pain|paresthesia|shoulder pain,"Medical condition characterized by: arm pain, arm weakness, back pain, hip pain, leg pain...",Consult a healthcare professional,moderate,,11
chronic constipation,blood in stool|burning abdominal pain|changes in stool appearance|constipation|lower abdominal pain|nausea|pain of the anus|rectal bleeding|retention of urine|sharp abdominal pain|vomiting,"Medical condition characterized by: blood in stool, burning abdominal pain, changes in stool appearance, constipation, lower abdominal pain...",Consult a healthcare professional,moderate,,11
angina,arm pain|chest tightness|dizziness|hot flashes|increased heart rate|irregular heartbeat|lower body pain|palpitations|sharp chest pain|sweating,"Medical condition characterized by: arm pain, chest tightness, dizziness, hot flashes, increased heart rate...",Consult a healthcare professional,moderate,,10
psoriasis,abnormal appearing skin|irregular appearing scalp|itching of skin|itchy scalp|joint pain|skin dryness peeling scaliness or roughness|skin growth|skin moles|skin swelling,"Medical condition characterized by: abnormal appearing skin, irregular appearing scalp, itching of skin, itchy scalp, joint pain...",wash hands with warm soapy water|stop bleeding using pressure|consult doctor|salt baths,minor,i have been experiencing a skin rash on my arms legs and torso for the past few weeks it is red itchy and covered in dry scaly patches|my skin has been peeling especially on my knees elbows and scalp this peeling is often accompanied by a burning or stinging sensation|i have been experiencing joint pain in my fingers wrists and knees the pain is often achy and throbbing and it gets worse when i move my joints,9
multiple sclerosis,abnormal involuntary movements|disturbance of memory|dizziness|focal weakness|headache|leg weakness|loss of sensation|paresthesia|problems with movement,"Medical condition characterized by: abnormal involuntary movements, disturbance of memory, dizziness, focal weakness, headache...",Consult a healthcare professional,moderate,,9
developmental disability,antisocial behavior|delusions or hallucinations|depressive or psychotic symptoms|difficulty speaking|fears and phobias|hostile behavior|lack of growth|obsessions and compulsions|restlessness|seizures|temper problems,"Medical condition characterized by: antisocial behavior, delusions or hallucinations, depressive or psychotic symptoms, difficulty speaking, fears and phobias...",Consult a healthcare professional,moderate,,11
conjunctivitis,coryza|cough|eye redness|fever|itchiness of eye|lacrimation|nasal congestion|pain in eye|sore throat|swollen eye|white discharge from eye,"Medical condition characterized by: coryza, cough, eye redness, fever, itchiness of eye...",Consult a healthcare professional,moderate,,11
sepsis,chills|cough|decreased appetite|feeling ill|fever|sharp abdominal pain|suprapubic pain|vomiting,"Medical condition characterized by: chills, cough, decreased appetite, feeling ill, fever...",Consult a healthcare professional,moderate,,8
